"report_date","total_purchase_amt","total_redeem_amt"
2014-07-15,1012388973,926324069
2014-07-16,1046172434,933710356
2014-07-17,829079552,1018760950
2014-07-18,698197549,830952813
2014-07-19,584078973,632613700
2014-07-20,547878115,719839198
2014-07-21,752517994,1190369958
2014-07-22,917908600,1312410471
2014-07-23,907384527,1116484141
2014-07-24,890196859,1125162507
2014-07-25,765342921,711686622
2014-07-26,475335274,578280477
2014-07-27,479883545,607609483
2014-07-28,954515564,1203257220
2014-07-29,863222138,853300674
2014-07-30,792987952,935698563
2014-07-31,841205304,1135234949
2014-08-01,899207505,870055896
2014-08-02,553713472,490901486
2014-08-03,588337156,662743001
2014-08-04,1049941667,884036613
2014-08-05,982923372,897361213
2014-08-06,821624166,947075352
2014-08-07,717159084,882729873
2014-08-08,915416806,851218048
2014-08-09,499046981,484325037
2014-08-10,530489028,580817826
2014-08-11,919174454,984754135
2014-08-12,878516336,920748714
2014-08-13,884906550,975119140
2014-08-14,739609433,705762970
2014-08-15,846900620,884441565
2014-08-16,609321425,566391077
2014-08-17,553824888,585473885
2014-08-18,1062823237,922452477
2014-08-19,997884612,855032325
2014-08-20,935285782,943317343
2014-08-21,844953019,839713550
2014-08-22,707399092,835619837
2014-08-23,514308052,656975450
2014-08-24,531523508,701666873
2014-08-25,863358405,1094037469
2014-08-26,772860520,1111797355
2014-08-27,861930531,1300270662
2014-08-28,874390315,1149305485
2014-08-29,826453756,991031071
2014-08-30,637204461,702002710
2014-08-31,696965022,758726116
2014-08-01,792138879.788549,815279105.10946
2014-08-02,557946310.17032,626263251.727788
2014-08-03,583128064.403764,679168654.016818
2014-08-04,952467278.181237,1140080609.91879
2014-08-05,1038903565.27613,1083132264.34971
2014-08-06,997029922.129067,1050757215.67138
2014-08-07,910745758.274592,1010182838.85779
2014-08-08,779764906.243918,817362782.048826
2014-08-09,551602314.203459,628744554.169928
2014-08-10,573160302.363809,676337814.30009
2014-08-11,947510655.144239,1153343504.7404
2014-08-12,1002834088.85986,1076972363.38957
2014-08-13,969135780.531698,1056578159.55312
2014-08-14,898141844.94039,1012532699.12113
2014-08-15,783262788.961176,824591780.863349
2014-08-16,548728245.535831,631649126.951926
2014-08-17,571348217.037783,686955848.296836
2014-08-18,938742123.872337,1156999376.23155
2014-08-19,1004584588.86949,1074028579.56564
2014-08-20,971405185.144181,1050203446.62092
2014-08-21,896572923.568765,1014367269.58881
2014-08-22,728231864.567859,864184676.10616
2014-08-23,490299209.557902,670568482.243704
2014-08-24,512405523.518303,729601775.87146
2014-08-25,885212765.055779,1206889135.84593
2014-08-26,942491056.462709,1118210218.14936
2014-08-27,913250022.821641,1092916173.30722
2014-08-28,842564858.948126,1058322150.22842
2014-08-29,725042720.928736,866300858.555389
2014-08-30,488464212.392189,671786109.680997
2014-08-31,512289202.993546,729678961.310824
